yearID,msalary,avg
2016,59039,83143
2015,56516,79263
2014,53657,75738
2013,51939,75195
2012,51017,72641
2011,50054,71274
2010,49276,69677
2009,49777,67392
2008,50303,67976
2007,50233,68424
2006,48201,67609
2005,46326,66570
2004,44334,63344
2003,43318,60466
2002,42409,59067
2001,42228,57852
2000,41990,58208
1999,40696,57135
1998,38885,54737
1997,37005,51855
1996,35492,49692
1995,34076,47123
1994,32264,44938
1993,31241,43133
1992,30636,41428
1991,30126,38840
1990,29943,37922
1989,28906,37403
1988,27225,36520
1987,26061,34017
1986,24897,32410
1985,23618,30759
1984,22415,29066
1983,20885,27464
1982,20171,25401
1981,19074,24309
1980,17710,22787
1979,16461,21063
1978,15064,19554
1977,13572,17730
1976,12686,16100
1975,11800,14922
,,13779